element,dept,color,country,planned $ amt,actual $ amt
Fermium,Business Development,Puce,Philippines,2133,2955
Radium,Accounting,Green,Malaysia,4655,1326
Fermium,Research and Development,Goldenrod,Philippines,4131,2448
Bismuth,Human Resources,Blue,China,3936,3475
Uranium,Product Management,Teal,Bangladesh,2995,2040
Gold,Sales,Orange,Indonesia,3755,1520
Astatine,Marketing,Yellow,Colombia,4881,4040
Polonium,Accounting,Red,Brazil,4969,1093
Einsteinium,Support,Khaki,France,4745,4116
Thorium,Business Development,Teal,Bangladesh,3179,2842
Californium,Human Resources,Turquoise,Mongolia,2787,4650
Fermium,Support,Khaki,China,2722,3505
Mendelevium,Accounting,Fuscia,Russia,2581,2420
Protactinium,Sales,Green,Indonesia,1056,2478
Mercury,Marketing,Khaki,Nigeria,4812,3768
Platinum,Engineering,Orange,Indonesia,4807,4772
Radon,Business Development,Yellow,China,4888,1749
Actinium,Human Resources,Mauv,Bolivia,4456,4927
Berkelium,Product Management,Fuscia,Somalia,4788,1559
Americium,Human Resources,Blue,Indonesia,1797,4396
Bismuth,Research and Development,Yellow,Italy,3000,4318
Thorium,Business Development,Khaki,Poland,3523,4423
Fermium,Engineering,Mauv,South Africa,4118,3005
Actinium,Engineering,Red,Indonesia,3266,2390
Platinum,Engineering,Yellow,China,1860,1171
Californium,Support,Crimson,Nigeria,4695,1745
Californium,Engineering,Turquoise,China,1231,3828
Radium,Sales,Indigo,Vietnam,3044,4664
Polonium,Research and Development,Aquamarine,Malaysia,2764,1560
Thorium,Human Resources,Maroon,China,4419,4402
Gold,Human Resources,Indigo,Croatia,3160,3269
Platinum,Product Management,Violet,Philippines,2760,2595
Actinium,Business Development,Khaki,Peru,4758,4287
Polonium,Accounting,Turquoise,Syria,3893,1408
Thorium,Marketing,Purple,Venezuela,2769,3018
Polonium,Product Management,Teal,Indonesia,2040,4737
Iridium,Legal,Maroon,Israel,1977,1184
Californium,Services,Indigo,New Zealand,1308,3521
Bismuth,Sales,Crimson,China,2360,3064
Plutonium,Human Resources,Orange,Thailand,2082,1541
Plutonium,Marketing,Orange,China,2753,2140
Gold,Accounting,Fuscia,Russia,2083,2523
Curium,Services,Indigo,Afghanistan,4098,1380
Curium,Research and Development,Orange,Argentina,2114,4619
Thallium,Engineering,Aquamarine,Namibia,1648,1829
Astatine,Legal,Teal,Sweden,4254,3783
Californium,Engineering,Blue,Portugal,1734,2761
Americium,Services,Crimson,China,1773,3497
Curium,Support,Aquamarine,Panama,2447,2801
Berkelium,Human Resources,Maroon,Indonesia,3562,3249
Bismuth,Business Development,Maroon,Peru,2874,3520
Francium,Research and Development,Mauv,South Korea,1079,4450
Uranium,Services,Pink,Portugal,3172,2215
Radon,Business Development,Turquoise,China,2622,3321
Astatine,Accounting,Puce,Philippines,3562,3814
Mendelevium,Training,Crimson,Japan,4711,3284
Astatine,Training,Green,Philippines,3058,3245
Americium,Sales,Khaki,Indonesia,2170,3301
Fermium,Business Development,Aquamarine,France,2141,4462
Radium,Accounting,Mauv,Brazil,4596,4385
Thallium,Engineering,Goldenrod,Philippines,4155,4559
Gold,Support,Pink,Brazil,2368,4502
Neptunium,Engineering,Crimson,Bulgaria,3833,4938
Iridium,Support,Green,China,2504,2703
Actinium,Support,Indigo,Poland,2560,1620
Iridium,Human Resources,Goldenrod,Ivory Coast,3089,2780
Lawrencium,Product Management,Purple,Tanzania,2523,2084
Nobelium,Research and Development,Violet,Poland,4183,2424
Actinium,Marketing,Teal,Japan,4489,3504
Einsteinium,Accounting,Orange,Macedonia,3164,1168
Plutonium,Sales,Purple,Peru,1581,3436
Actinium,Research and Development,Crimson,Ireland,4760,3209
Platinum,Support,Aquamarine,Philippines,2825,2119
Lead,Human Resources,Aquamarine,China,2130,1670
Astatine,Training,Teal,China,3646,3132
Radon,Engineering,Pink,Russia,1411,4298
Plutonium,Training,Fuscia,Poland,1151,1872
Radium,Marketing,Pink,Afghanistan,4626,4945
Actinium,Support,Aquamarine,Russia,2402,2578
Uranium,Engineering,Yellow,Greece,3807,1262
Actinium,Training,Turquoise,China,4752,2005
Einsteinium,Legal,Indigo,Russia,4301,3800
Berkelium,Human Resources,Aquamarine,Poland,4509,3861
Francium,Research and Development,Turquoise,Indonesia,4946,3897
Plutonium,Human Resources,Mauv,Tanzania,3696,2684
Uranium,Human Resources,Red,Honduras,2029,3421
Mendelevium,Human Resources,Crimson,Portugal,4396,2083
Astatine,Legal,Teal,Russia,1265,2342
Lawrencium,Marketing,Teal,Russia,1624,3592
Mercury,Business Development,Orange,China,2204,4374
Polonium,Legal,Teal,France,1486,1496
Fermium,Accounting,Crimson,China,4888,1196
Lead,Accounting,Violet,Sweden,3314,1035
Lead,Support,Turquoise,South Africa,3717,1538
Curium,Research and Development,Maroon,China,1646,1465
Iridium,Marketing,Khaki,Ukraine,4652,4039
Nobelium,Training,Indigo,Argentina,1409,2016
Lead,Services,Blue,China,2319,2184
Radium,Research and Development,Fuscia,Portugal,3329,1262
Plutonium,Business Development,Yellow,Russia,4172,1599
Berkelium,Services,Yellow,Serbia,3058,2348
Astatine,Sales,Red,China,3210,3929
Actinium,Legal,Green,Panama,4011,3426
Polonium,Support,Purple,China,2831,3957
Astatine,Accounting,Turquoise,Bolivia,3709,2913
Astatine,Engineering,Puce,Czech Republic,2713,4123
Radium,Engineering,Mauv,China,3849,2223
Californium,Accounting,Purple,Greece,4784,4671
Mercury,Sales,Purple,Czech Republic,2263,2440
Polonium,Engineering,Fuscia,Pakistan,1696,1047
Mendelevium,Legal,Turquoise,United States,3550,2435
Gold,Human Resources,Mauv,Philippines,2365,3354
Berkelium,Marketing,Fuscia,Ecuador,1642,4942
Protactinium,Training,Puce,Colombia,2808,1345
Actinium,Training,Pink,China,1551,3395
Thorium,Engineering,Red,Ecuador,1794,2045
Francium,Marketing,Goldenrod,Portugal,1105,1004
Einsteinium,Legal,Blue,United States,3643,2844
Bismuth,Human Resources,Blue,Tunisia,3925,4342
Thallium,Marketing,Crimson,Indonesia,2196,1428
Francium,Research and Development,Red,Philippines,4922,2713
Curium,Sales,Orange,Israel,4242,2207
Francium,Accounting,Red,Russia,1091,4495
Iridium,Marketing,Pink,Philippines,4340,2706
Fermium,Human Resources,Teal,Poland,3471,3572
Nobelium,Marketing,Purple,Indonesia,3072,1468
Thorium,Marketing,Aquamarine,China,1321,1050
Platinum,Sales,Aquamarine,Jamaica,1039,2256
Lead,Support,Fuscia,Greece,1268,1158
Astatine,Human Resources,Violet,China,2412,1838
Mendelevium,Business Development,Turquoise,China,2149,3402
Einsteinium,Accounting,Turquoise,Russia,4388,1127
Fermium,Support,Aquamarine,Indonesia,2748,1741
Neptunium,Services,Yellow,Germany,1569,4467
Astatine,Marketing,Blue,Indonesia,1902,3046
Radon,Training,Maroon,Sweden,3766,2849
Bismuth,Marketing,Pink,Syria,1719,3574
Neptunium,Human Resources,Orange,Russia,1207,1153
Lead,Accounting,Blue,Brazil,1198,4092
Neptunium,Sales,Aquamarine,China,2181,3738
Radon,Engineering,Turquoise,Brazil,4518,4333
Bismuth,Support,Red,China,3004,3080
Actinium,Accounting,Teal,Thailand,1788,2860
Nobelium,Engineering,Mauv,China,3186,2019
Bismuth,Services,Khaki,Portugal,2814,2173
Californium,Research and Development,Teal,Indonesia,2751,2906
Americium,Business Development,Mauv,Sweden,4880,2557
Nobelium,Training,Blue,Panama,4173,2518
Actinium,Sales,Turquoise,Malaysia,4071,4849
Americium,Legal,Aquamarine,Croatia,3146,4672
Iridium,Support,Khaki,Poland,1123,4578
Astatine,Product Management,Pink,Greece,1352,3098
Gold,Business Development,Fuscia,Paraguay,3775,1987
Gold,Research and Development,Aquamarine,Germany,4120,3738
Einsteinium,Legal,Purple,Philippines,1950,2972
Iridium,Support,Pink,Argentina,4932,3033
Platinum,Support,Pink,China,2908,1311
Fermium,Product Management,Fuscia,Colombia,1719,1835
Astatine,Business Development,Green,Sweden,4821,2506
Californium,Business Development,Puce,Russia,3298,3459
Actinium,Legal,Purple,Poland,1320,3831
Plutonium,Product Management,Yellow,Vietnam,3074,1948
Plutonium,Support,Indigo,Ukraine,2035,1382
Actinium,Sales,Purple,China,2128,1167
Mercury,Services,Fuscia,Indonesia,3667,1899
Lead,Training,Turquoise,Canada,4837,4323
Gold,Marketing,Blue,Poland,1532,4931
Actinium,Marketing,Maroon,Japan,1481,2677
Protactinium,Human Resources,Khaki,China,1462,1483
Radium,Training,Indigo,Russia,1514,1004
Plutonium,Human Resources,Violet,Georgia,1642,3188
Plutonium,Training,Aquamarine,Indonesia,1797,3947
Lead,Support,Pink,China,3922,2789
Gold,Marketing,Pink,China,1178,2975
Radon,Legal,Goldenrod,China,1604,2499
Plutonium,Business Development,Turquoise,Czech Republic,2321,3536
Mercury,Marketing,Yellow,Poland,1054,1743
Lead,Training,Pink,Russia,1507,1261
Einsteinium,Training,Goldenrod,Belarus,4828,1739
Lead,Legal,Puce,Chile,1962,3372
Protactinium,Human Resources,Blue,Mexico,4914,2027
Protactinium,Research and Development,Aquamarine,Canada,4144,1892
Francium,Marketing,Blue,Bulgaria,3701,3286
Francium,Product Management,Pink,Malaysia,4607,2795
Astatine,Engineering,Red,Brazil,4196,4865
Actinium,Human Resources,Green,Laos,4707,2101
Curium,Training,Red,Democratic Republic of the Congo,3035,2143
Lead,Sales,Mauv,Guam,4241,1927
Plutonium,Marketing,Goldenrod,Nigeria,1487,1785
Berkelium,Legal,Mauv,Philippines,1335,2540
Iridium,Sales,Maroon,Poland,4680,4490
Plutonium,Accounting,Crimson,Finland,3921,1360
Neptunium,Human Resources,Crimson,China,3102,1018
Bismuth,Research and Development,Red,Australia,3151,1216
Uranium,Services,Green,Philippines,1654,2745
Mercury,Marketing,Aquamarine,Brazil,3056,4276
Mercury,Accounting,Goldenrod,Thailand,1516,4201
Iridium,Legal,Khaki,Philippines,2671,2856
Astatine,Product Management,Red,Czech Republic,4098,3761
Berkelium,Human Resources,Pink,Ukraine,4819,2285
Astatine,Support,Blue,Indonesia,2822,1914
Berkelium,Product Management,Maroon,Japan,3805,3935
Plutonium,Engineering,Mauv,Brazil,4067,4360
Radium,Engineering,Orange,Colombia,2089,4784
Mercury,Business Development,Yellow,China,4887,1945
Mendelevium,Accounting,Yellow,Indonesia,3786,3042
Protactinium,Training,Mauv,Mauritania,1515,1582
Iridium,Marketing,Aquamarine,Russia,3458,3163
Iridium,Engineering,Fuscia,Brazil,3948,4031
Radon,Support,Green,Russia,2768,4089
Iridium,Human Resources,Goldenrod,Ukraine,4291,3834
Radium,Legal,Khaki,United States,4351,1204
Radium,Accounting,Goldenrod,South Africa,3823,2811
Lawrencium,Engineering,Goldenrod,China,1810,2965
Bismuth,Product Management,Crimson,Indonesia,3378,4863
Berkelium,Engineering,Aquamarine,Philippines,4078,4304
Thallium,Training,Goldenrod,Japan,3785,2941
Einsteinium,Training,Yellow,Indonesia,3735,1783
Einsteinium,Research and Development,Violet,China,2862,4231
Mendelevium,Legal,Fuscia,France,3616,4089
Berkelium,Research and Development,Green,China,2948,3557
Uranium,Services,Turquoise,France,1172,3216
Einsteinium,Sales,Blue,Philippines,3654,3485
Lawrencium,Sales,Violet,China,4894,3502
Polonium,Research and Development,Maroon,Brazil,2532,2592
Mercury,Business Development,Blue,China,4730,1743
Astatine,Legal,Blue,Philippines,1541,4989
Americium,Services,Orange,Portugal,3360,1386
Curium,Legal,Teal,Philippines,4230,2416
Radon,Services,Blue,Argentina,4343,1513
Lawrencium,Training,Crimson,Indonesia,2661,3010
Astatine,Support,Blue,France,4740,2963
Nobelium,Services,Violet,Philippines,1202,4127
Mendelevium,Engineering,Khaki,China,2623,3513
Mercury,Marketing,Red,Venezuela,1419,4274
Bismuth,Sales,Teal,Indonesia,4613,1292
Lead,Business Development,Maroon,Vietnam,4847,4388
Mercury,Accounting,Khaki,Peru,1106,2240
Mendelevium,Legal,Yellow,Iran,3992,2042
Platinum,Engineering,Blue,Ethiopia,4799,2372
Protactinium,Training,Purple,Philippines,3156,2023
Thorium,Support,Turquoise,Libya,4196,3364
Gold,Legal,Mauv,China,1372,4532
Francium,Training,Goldenrod,Indonesia,4878,2207
Berkelium,Research and Development,Red,China,4861,4553
Mendelevium,Marketing,Green,China,2401,1481
Fermium,Sales,Pink,Lebanon,4295,4573
Thorium,Marketing,Turquoise,Philippines,1907,2640
Californium,Engineering,Aquamarine,North Korea,1454,4873
Radon,Business Development,Pink,Indonesia,2126,2280
Mendelevium,Marketing,Red,Madagascar,4466,2709
